qseqid,group6759,group4419,group6758,group6757,group6756,group6755,group6754,group6753,group6752,group6751,group6750,group5676,group5675,group5674,group6747,group6746,group6704,group6703,group6702,group6701,group6700,group6699,group6698,group6696,group2570,group6694,group6693,group6692,group6691,group6690,group6688,group6687,group6686,group6685,group6684,group6683,group6673,group6672,group6676,group7196,group6901,group4928,group4927,group4926,group4925,group6903,group6932,group4930,group4931,group4932,group4933,group4935,group4936,group7008,group6864,group9364,group6863,group6860,group6859,group6766,group6765,group6764
group6759,1.0,0.052554681967,0.804618642093,0.954214231841,0.956240133689,0.884969792232,0.935642264041,0.390204349244,0.825365343013,0.495161823093,0.73953252239,0.292724006624,0.803877913429,0.456198147938,0.777678247667,0.132918109682,0.242209496891,0.778867833226,0.202098531262,0.180219192163,0.0104119686523,0.190182805409,0.209265446335,0.169459451846,0.182530689768,0.306133350149,0.176387421838,0.0944545437489,0.0997831606423,0.0391492745633,0.182031712174,0.176917966173,0.392835281442,0.518121931059,0.507059449558,0.376773386662,0.334290974376,0.0592126098307,0.519355427126,0.690264575114,0.021579696121,0.0275267810396,0.0354630852808,0.0324190793007,0.0382921450752,0.740074720729,0.592053296208,-0.000131889737656,0.00455142351162,0.0010191638996,-0.00172404339226,0.00786295431161,-0.000436405390168,0.0135295589342,0.680257402636,0.0506768523972,0.698233840286,0.0277337181893,0.580849864278,0.98333902658,0.202381552419,0.230238118833
group4419,0.052554681967,1.0,0.103076902087,0.132392290217,0.10285422037,0.134080231894,0.104865245265,0.0833052534229,0.128023504636,0.0337224410604,0.0409136203387,0.118069795581,0.191118696594,0.114048365073,0.042891292034,-0.0044865439401,0.00640306722202,0.00787856391848,0.0124309305476,0.00805808913625,0.00530774103671,0.00773346736587,0.00806813181684,0.00690468146652,0.00958104700083,0.0157948495465,0.0112198523887,0.0056589199918,0.00475410039868,0.00565411820352,0.00687690394433,0.00625653786918,0.0143051259479,0.000620770548854,0.000606190011482,0.0254623423302,0.00210177226195,-0.000178953358966,0.0310156585512,0.00528391719401,0.00405232057613,0.00475529196664,0.00603201927611,0.00587694014265,0.0061573966945,0.00547996248427,0.0050051751903,-0.00326664569019,0.00195468991699,0.00107209369092,-0.00139995815536,-0.000521086408834,-7.47309502307e-05,0.00419994261599,0.00506090111649,0.024989840284,0.00533689940245,0.00328790558488,0.0181123318559,0.10745530562,0.0145854317415,0.0110282763854
group6758,0.804618642093,0.103076902087,1.0,0.884310292614,0.888317414626,0.882735708381,0.857171195015,0.560633198379,0.858769782878,0.710668872212,0.766967335872,0.492649434473,0.700519874655,0.50050028869,0.680643319195,0.012992528367,0.324440868353,0.185181604502,0.215175609837,0.217376581376,0.0144127556501,0.220711507083,0.229369622992,0.184205011345,0.20081394041,0.226999831251,0.201988040343,0.0722253486278,0.100057761573,0.0805956109599,0.210260196359,0.216587378145,0.281137266725,0.140764957965,0.122471131719,0.22507131329,0.121064907734,0.0181629711229,0.522845007119,0.138402921292,0.0954870074267,0.103818524567,0.124486908855,0.105757692602,0.13199296611,0.255150958903,0.172082924703,0.00908620333129,0.0128600269701,0.0119190683856,0.0059419846837,0.0116578491458,0.00796327787955,0.0281485837984,0.203688444853,0.0663965719437,0.252691020228,0.0312322164148,0.505800740464,0.831400726889,0.204455180959,0.239842425211
group6757,0.954214231841,0.132392290217,0.884310292614,1.0,0.968240735109,0.945275268607,0.956174346743,0.481624735439,0.892460289118,0.596504518412,0.822484746436,0.415552122945,0.754235112181,0.548302930144,0.778201615159,0.128730402691,0.328056720313,0.403732228758,0.399674484799,0.339069149644,0.0660763565728,0.348795451779,0.3695923061,0.336212696946,0.345486578753,0.445315111587,0.351998106211,0.157901473754,0.174564618173,0.097811554529,0.375674895399,0.356608108251,0.454788220449,0.34302020754,0.366423081684,0.488196762169,0.241242299046,0.0593209517588,0.551940141604,0.206365360756,0.0501054763715,0.0567266508465,0.0695683433486,0.0739177840652,0.0831388149082,0.507167520951,0.389221682434,0.0106551494683,0.0165625373394,0.0164228584736,0.000470312379185,0.00567469428824,0.00139414386802,0.0407030394412,0.415943698931,0.109085028027,0.48175596265,0.03471379681,0.549225160589,0.958125338312,0.481353218388,0.464092450085
group6756,0.956240133689,0.10285422037,0.888317414626,0.968240735109,1.0,0.936026465403,0.97835328613,0.476995298161,0.87402934513,0.571512324349,0.819420098735,0.378910169993,0.739463318859,0.52769302563,0.778198804499,0.00870846220823,0.149175052526,0.396592156795,0.369560617622,0.334907842968,0.0424087963546,0.350985290443,0.373625629058,0.301599758664,0.316507063571,0.398805825435,0.327396096929,0.160599591955,0.196917935787,0.110814513132,0.351784354283,0.32922624559,0.440237425981,0.320467387674,0.387385861426,0.445405493856,0.209315120985,0.0309340096132,0.545435862769,0.196462178618,0.0460473833656,0.0488801279528,0.0691362826735,0.0624295681773,0.0790473284794,0.44050718776,0.345545833123,0.000858566035323,0.00715514592086,0.00288401863373,-0.0013535303912,0.00482884436628,-6.54855406823e-05,0.022729398607,0.348429005798,0.0792269459321,0.42003016109,0.0404419501058,0.588688377233,0.970791201877,0.414310292528,0.425166923685
group6755,0.884969792232,0.134080231894,0.882735708381,0.945275268607,0.936026465403,1.0,0.942185111291,0.627653411434,0.89137700752,0.635715890198,0.822057628956,0.452730681116,0.735480348266,0.537116075709,0.724268818902,0.0343327813827,0.258537432559,0.389839866132,0.43422559188,0.385703937249,0.0285214419483,0.420272917466,0.444183399546,0.350316885344,0.363182603337,0.437015069288,0.402762612569,0.176347168852,0.235745248832,0.120498541325,0.413489254269,0.414223445904,0.424472124435,0.228077842889,0.225466087103,0.428179205337,0.214573689321,0.0468519330936,0.597783225548,0.211977799226,0.0998176254527,0.104857200539,0.155295390374,0.143008204855,0.180747675612,0.435252739871,0.341755651797,0.01038819186,0.0256716309932,0.0184211981054,0.00588535810691,0.00670954656313,0.00683666979409,0.0511691760928,0.336229606598,0.100479353862,0.400859139094,0.0506254770718,0.507094354019,0.896272194311,0.384920420515,0.477066966207
group6754,0.935642264041,0.104865245265,0.857171195015,0.956174346743,0.97835328613,0.942185111291,1.0,0.53031362568,0.874209311528,0.568352293681,0.812634206711,0.394541188439,0.756563466708,0.535357050196,0.766187325253,0.000653681088924,0.142538061945,0.196865506757,0.221958198319,0.214285555683,0.0321995235343,0.215116417596,0.240303798563,0.192289082293,0.185976866396,0.231011012335,0.165478106435,0.1150486915,0.103740558407,0.0628006664658,0.230864001387,0.236676718974,0.281769463825,0.235534015542,0.260586638345,0.297719890883,0.10404853891,0.0141304675172,0.517198130134,0.110248208737,0.0342634573907,0.0353904199302,0.0434432179568,0.0444528203232,0.0541865975004,0.272667603534,0.179030588444,-0.00146717826723,0.00499881562297,0.00420409048357,-0.00104645942307,-0.0017956611467,-0.00194829344623,0.0246445701077,0.186723037851,0.050698651478,0.248235587165,0.0264026894705,0.594320380965,0.968522083882,0.320377459923,0.302664760156
group6753,0.390204349244,0.0833052534229,0.560633198379,0.481624735439,0.476995298161,0.627653411434,0.53031362568,1.0,0.618890671544,0.628420258603,0.474231273052,0.420176115508,0.448520164134,0.31024940541,0.38364776112,0.00558860674945,0.288351588754,0.128676518343,0.161653143943,0.146012787997,0.00943387808895,0.155480633143,0.164847539995,0.134373425738,0.159375657604,0.160285610181,0.218933155502,0.074168770408,0.137700380921,0.126999253039,0.153760895109,0.159782432981,0.205997894694,0.12046921538,0.0879653811269,0.147922050945,0.0718363934462,0.0134306156929,0.344260929081,0.0938649768027,0.0956720585803,0.0969712282672,0.12061529015,0.129497596407,0.155644464986,0.1681466135,0.129188048539,0.0513235232621,0.0555071619824,0.0651818673602,0.0278910462489,0.0280446085936,0.0325748489189,0.0720641340181,0.1602968096,0.0406954426045,0.159119895171,0.0231160299876,0.269206680015,0.437142019687,0.129959514646,0.182536225398
group6752,0.825365343013,0.128023504636,0.858769782878,0.892460289118,0.87402934513,0.89137700752,0.874209311528,0.618890671544,1.0,0.823840125822,0.873357133561,0.506200092759,0.753995056299,0.531168597713,0.705909647253,0.0633392386538,0.366219832019,0.405430708271,0.465635483332,0.397640477224,0.03017404504,0.430618079715,0.456322035182,0.370453010148,0.389523898237,0.472105047958,0.465104436688,0.200556132619,0.295689618668,0.170761506025,0.421174610782,0.415347389231,0.428061239267,0.181798572374,0.216235257491,0.42275616873,0.202220073962,0.0288297141757,0.629749957442,0.27285736255,0.121136612688,0.130841723005,0.18944274989,0.181945556105,0.236537101476,0.431014923706,0.377846710861,0.0230869584692,0.0447737540953,0.0390536925549,0.0124647668776,0.0173222975384,0.0141740066843,0.0487326844494,0.391270430458,0.109185813013,0.397473114843,0.0561029976029,0.506656380079,0.855195646715,0.386456964321,0.503161315897
group6751,0.495161823093,0.0337224410604,0.710668872212,0.596504518412,0.571512324349,0.635715890198,0.568352293681,0.628420258603,0.823840125822,1.0,0.747817266116,0.522125728776,0.442358311862,0.394606430892,0.551387017135,0.0612375411559,0.427550725541,0.368973411307,0.220192409169,0.367734990524,0.00216902590892,0.381259140154,0.399156192283,0.331004322904,0.208458229703,0.337023148513,0.341250745392,0.162829936843,0.237092732997,0.120415815937,0.369105985408,0.37089141646,0.315334660356,0.0556755714372,0.0804479873353,0.0810620495329,0.227065961723,0.0850544356011,0.581793187952,0.0618594189544,0.206645091341,0.21450768644,0.286265941973,0.25191249231,0.346656605008,0.405515383253,0.374890197486,0.0604709491135,0.112293521745,0.0884113103897,0.0435862641973,0.0533780037793,0.0532451206015,0.0477853989756,0.359741923,0.131850844186,0.383950573079,0.0545596457284,0.220193902503,0.566361126806,0.222138186769,0.391417001411
