gene,group6759,group4419,group6758,group6757,group6756,group6755,group6754,group6753,group6752,group6751,group6750,group5676,group5675,group5674,group6747,group6746,group4710,group6705,group6704,group6703,group6605,group6702,group6701,group6700,group6699,group6698,group2570,group6695,group6694,group6693,group6692,group6691,group6690,group6688,group6687,group6686,group6685,group6684,group6683,group6678,group6677,group6673,group2554,group6672,group9221,group9222,group1749,group6901,group14,group4928,group4927,group4926,group4925,group3760,group8602,group6903,group6932,group4930,group4931,group4932,group4933,group4934,group4936,group7008,group432,group6864,group9364,group6863,group6860,group6859,group5602,group6765,group6764,group10076,group6925,group6926,group6927,group5524,group2056,group5082,group4138,group9265,group9264,group9263,group9262,group9259,group9258,group9257,group9256,group9255,group9351,group233,group1367,group4070,group5276,group5277,group5600,group5294,group5756,group5757,group4144,group4143,group4142,group4141,group4140,group4139,group4137,group4136,group4135,group4134,group4129,group4128,group4127,group4126,group4125,group4123,group4122,group4121,group4120,group4119,group884,group885,group5368,group5369,group5370,group5371,group4124,group4035,group7106,group3603
group6759,1.0,0.0184712772698,0.885199409539,0.951160480174,0.951082077983,0.952810810082,0.924162246877,0.823843988227,0.932108648501,0.677863193983,0.720096306847,0.679789187373,0.592821764344,0.63228475915,0.69009430678,0.0566040551654,0.00241322813173,0.0809350968586,0.0220127688082,0.812577032621,0.020215809099,0.390940420229,0.280536442233,0.0149597122997,0.377498972689,0.413826637583,0.0376369134682,0.345901357361,0.466266302054,0.335948481287,0.16360930638,0.140718955726,0.0180246039463,0.374451670753,0.268794070323,0.853566170004,0.214959002895,0.487656043174,0.542377292659,0.00915432917341,0.0172139271416,0.317927866116,-0.000488816974862,0.0506154611985,-3.89258131014e-05,-0.00382104892979,0.0111233846359,0.0153056679584,0.0147140967631,0.0567901243495,0.0703364085924,0.0742057087255,0.0829492256415,0.0182920651412,0.040576532919,0.846817548331,0.494251561087,-0.000200373033808,0.0058004531997,0.0017841704576,-0.00105107540376,0.00201780137071,-0.000485203749154,0.01894884565,0.00424162069071,0.656615822364,0.0670944155283,0.852589347377,0.0468277574256,0.203919344272,0.0247948464111,0.366893675383,0.403882262861,0.00642774667867,0.414871814881,0.0206084331829,0.455092604192,0.00392372505775,0.0771248482125,0.00142483350713,0.00840733350802,0.0307100928002,0.0182840430993,0.00743317825007,0.0183459081235,0.0292687976972,0.0163440523595,0.0202690582892,0.010061671697,0.00691599788638,0.0228044490294,0.00376797194592,0.00187375093681,0.00010632944138,0.0049493601869,0.0207119641974,0.043117395259,0.00979473290783,0.00112387416669,0.0433180194157,0.0667831421461,0.0633407124254,0.0156237238331,0.000703200616899,0.0156277093985,0.000849390095634,0.00368928768364,0.0259974586808,0.000801973310059,0.0368405769719,0.0251810949171,0.0188782711693,0.0251946678074,0.0328094254879,0.0229134958835,0.0181478553332,0.0129392526094,0.00268141123656,0.00684003559875,0.00600437711585,0.00764113658231,0.00347858546221,0.0274747955878,0.0878842809837,0.0737179190231,0.0853145589592,0.0241059900861,0.00384863610798,0.00895211392077,0.0123370676641
group4419,0.0184712772698,1.0,0.0776880390296,0.102659222485,0.0736504792471,0.108784667495,0.0761126845269,0.0870452933185,0.101002441063,0.0140817488831,0.0151802700593,0.177225894496,0.257247976356,0.100266877804,0.0134599862585,0.000544216262914,0.0218424283389,0.0631272944523,0.0032793601719,0.00760520358086,0.00264215420932,0.00765747849507,0.00750089570011,0.00310186578998,0.00734084241036,0.00952484687918,0.00333203790862,0.0229312900223,0.0111193751116,0.00741653793472,0.00421116573898,0.00449371748209,0.00231595384701,0.00708376939881,0.00473729796722,0.0212399026482,0.000589633221721,0.000575502640179,0.0151680526662,0.00382230112728,0.217354580839,0.00191628075125,-0.000346728657839,0.000509707967775,0.00250748420092,0.0217662371063,0.00496673968973,0.00466955233063,0.0279231425743,0.00506809930612,0.00627310047002,0.00609313616977,0.00630653615777,0.0296489492694,0.219787393091,0.00601924825524,0.00408397738889,-0.00502615544437,-0.000878753260433,-0.0019036232157,-0.00213804321282,0.00122131756815,-0.00369595294343,0.00261579724119,0.00095650322656,0.00432677557425,0.0163308621289,0.00602677192723,0.00200178028267,0.00691185790211,0.0131304084437,0.0107453995756,0.0112185967399,0.00778627405812,0.00357189363006,0.00240433660127,0.00330906261925,0.00140196378095,0.0118419801467,0.0549261242812,0.00940973109587,0.00245368796118,-0.00103893266814,0.00546899741155,0.0082114127271,0.00318848279026,0.00856363447667,0.00491291409898,0.0084507875369,0.00669260848112,0.00408500219936,0.00175933506181,0.00375467565906,0.000655557998589,0.00930960588206,0.00685417439603,0.00391135448094,-0.000432675913323,0.0104838131869,0.0110391250655,0.00734988924617,0.00827720330039,0.020327569327,0.0155509527634,0.0120600968582,0.0183732673864,0.0137375145223,0.0106307712,0.00257469591736,0.0100225951581,0.00369470802708,0.010506268838,0.0082751757119,0.00693444236988,0.00237312236745,0.00457552355221,0.0171606746946,0.015437428605,0.0181460668434,0.0167402745745,0.0178149067222,0.0194067212369,-0.000394590177686,0.0058679500261,0.00420849378764,0.00526365460445,0.00846284842183,0.0051766240192,0.0012724027652,0.00385038103394
group6758,0.885199409539,0.0776880390296,1.0,0.927702250671,0.949029215032,0.913804892944,0.904831526283,0.874122957266,0.914747571663,0.774825847623,0.74540902547,0.681884883153,0.449229909328,0.682036698815,0.667579876017,0.00819424025592,0.00238549771336,0.0731665669226,0.0079670706188,0.117861119096,0.0195143840098,0.110989587771,0.12473457667,0.0222430577973,0.116466108955,0.140746676523,0.0928136304792,0.0962346517638,0.134244444173,0.126075986702,0.0558058634201,0.0806456188534,0.0920724160679,0.128337176931,0.0852391607879,0.258426979795,0.11391738357,0.141965795795,0.173113704142,0.0266244114254,0.170370835778,0.104627782468,-0.000491793529439,0.00661349615727,4.29517583202e-05,-0.00595133358105,0.0443074566114,0.0161814536419,0.021249003057,0.0541530087399,0.0762045343956,0.053053621399,0.0474567907846,0.0146195647068,0.162189488607,0.143782834995,0.0999889061708,0.00876339298124,0.0122321561621,0.010404735309,0.00310238482072,0.00421824976876,0.00685437940088,0.0296970110114,0.0159318639519,0.119449046453,0.0699866119219,0.142572484759,0.0146975732959,0.208230425855,0.0051003859069,0.170474171798,0.179223998004,0.00814510445998,0.0754202277994,0.00551862153382,0.0807637113168,0.0051704214697,0.0429883952645,0.0387209572799,0.00638294212734,0.0359091596556,0.0185773316795,0.00880437745184,0.027749787977,0.0294564951495,0.0189614095462,0.0197985225801,0.0128694898366,0.0092981442386,0.0317801523681,0.00705974640055,0.021856369724,0.00059432226623,0.00493152116902,0.0177762360843,0.0384454073495,0.0124439133248,0.00184114240082,0.029705171178,0.046847754832,0.0472575423297,0.0135240246612,0.00158388468735,0.0166607001884,0.00247727921206,0.00331704085669,0.0227952100159,0.00206031632943,0.0248597504768,0.025916780288,0.0194466544633,0.0235051667286,0.0288448838254,0.0231013502554,0.0230957709655,0.0155601732546,0.00631836929026,0.00605526412308,0.0111022732117,0.0271340798924,0.0177403608109,0.019161007842,0.0570308406243,0.0592776133089,0.051825712313,0.0232581886274,0.0338571045947,0.00476001611907,0.0145515570255
group6757,0.951160480174,0.102659222485,0.927702250671,1.0,0.958247772915,0.976278687787,0.935064426292,0.898774115615,0.962590824839,0.770057246126,0.784621976838,0.708050257014,0.512510587811,0.71495704798,0.693288685411,0.0242723317772,0.00219747467307,0.13160610162,0.0185737771876,0.440220316319,0.0262312828772,0.453831398333,0.324862685054,0.055223456601,0.407145930954,0.441652366125,0.126027052912,0.331279591412,0.484809240359,0.370220908783,0.167090795554,0.199683629073,0.0862287393985,0.467210517501,0.34185676429,0.556410074501,0.15931184657,0.252205452491,0.539292250238,0.0322670623312,0.233098787103,0.23550806195,-0.000494628435581,0.0188623396742,0.00157901446509,0.00935830188473,0.0498395048312,0.0270760478015,0.0249752892328,0.0820218763831,0.100452334326,0.120407867203,0.122321376038,0.0313677771255,0.22144411072,0.553401806417,0.315362334184,0.0122975189066,0.0120178607782,0.0193493383702,0.0012469719189,0.00394592412,0.00256594573297,0.049273450611,0.0111686053382,0.426079433717,0.10138993859,0.552569777151,0.0401181245998,0.206575229366,0.0149341557798,0.480678015492,0.430085491591,0.00570469989765,0.30122994886,0.0115531241342,0.301826360695,0.00471797223389,0.0481797213482,0.0308513456556,0.0114515369027,0.0508610354055,0.0241617350227,0.0127203837945,0.0394531065996,0.0500487722055,0.0285214765771,0.0348321610654,0.0209017064527,0.0139235512389,0.0421400809515,0.0040794532173,0.0087610180539,0.000380509480526,0.00730332935407,0.032078265009,0.0654206395042,0.0105016583438,0.00210125213375,0.0667741769462,0.0987183003193,0.0947362807615,0.0239761465702,0.00134332443194,0.00464832716714,0.00388864691781,0.00247792928095,0.00852233427414,0.000737387952599,0.0367748029796,0.00336645861702,0.00375003575628,0.002964425973,0.0203379768143,0.0111680264694,0.015942948955,0.0156306475387,0.0125031271851,0.00873524101064,0.00523663374435,0.0327949954394,0.0134621371298,0.0389164399164,0.123726120061,0.107965106727,0.10914844798,0.00819216177633,0.00865407752466,0.00401691131263,0.0119545977603
group6756,0.951082077983,0.0736504792471,0.949029215032,0.958247772915,1.0,0.953342524347,0.962227487883,0.893547023831,0.951518728362,0.748546079508,0.779782203374,0.674619180596,0.449069005246,0.694005224758,0.689146831651,0.0148095920228,0.00153163326072,0.114938265323,0.010489006162,0.432721882471,0.0271133220106,0.421783422633,0.342706683771,0.0335414318717,0.411419128737,0.439337964771,0.103676017976,0.308888544071,0.454772628265,0.364554719691,0.172017773937,0.189508328129,0.0724006365833,0.424804034448,0.313400721923,0.559282903467,0.138823193701,0.248345414732,0.501743215412,0.0286401117593,0.163982346855,0.216596269847,-0.000607069155052,0.014094495453,-0.000393979386046,-0.00867554790408,0.0429327797421,0.0206410278686,0.0227529048954,0.0689920630136,0.100626787286,0.105914585235,0.117222320005,0.0118782322877,0.164415596073,0.483792766636,0.280432384698,0.00263931530806,0.00684265286178,0.00325504384668,0.000183575824811,0.00338487898381,0.000993165141936,0.0288634783027,0.00456799229389,0.352739654745,0.0665156048003,0.478495447416,0.0460251166562,0.213517950942,0.0115928998544,0.411025108049,0.386708513493,0.0101013162718,0.237253755363,0.0121996448018,0.251568955053,0.00346749388842,0.0539151955971,0.0222221707417,0.00823807809755,0.0438956146917,0.0203736756191,0.0103738658659,0.02592549544,0.0431662446394,0.0236075930087,0.028388834796,0.0154437308647,0.00995811785002,0.03347707493,0.00521218088716,0.0122044330194,0.000248541094812,0.00660317114168,0.0305275459224,0.0644666094497,0.0106661730104,0.00138323254628,0.0639359700002,0.100200112452,0.0944996066253,0.0229080914112,0.000895835357523,0.00702493394345,0.00173861028469,0.00212254253923,0.0143605361314,0.0010300103591,0.0406920485968,0.0115857429069,0.00844026258052,0.009575228332,0.0224845461511,0.0093472984462,0.0100873008585,0.00859158920067,0.00476520046831,0.00836785141558,0.00574708620002,0.0261914058514,0.0139908262517,0.035466190856,0.117856381987,0.105783598653,0.105598819032,0.00948326695733,0.0302505877916,0.00496289208777,0.0135956403022
group6755,0.952810810082,0.108784667495,0.913804892944,0.976278687787,0.953342524347,1.0,0.953162894429,0.92161740345,0.97824937838,0.770996485985,0.801241331169,0.71160291455,0.53266782649,0.72556088155,0.69734345035,0.0275753105031,0.0021625978654,0.139750472083,0.0162002191668,0.563108807842,0.0194468157431,0.553175356245,0.440842904596,0.0412263986747,0.54785259838,0.581880890408,0.0814409213095,0.399213650085,0.587406702761,0.50040579629,0.222679213718,0.242895764056,0.134133235962,0.519603192322,0.395236403577,0.573370692878,0.22369869712,0.242476919561,0.641266580691,0.031014569241,0.254100900977,0.304498564542,-0.000657476368869,0.0275633237235,-0.000186970152328,-0.00742026515457,0.0482021559489,0.0241813176147,0.0251130146078,0.0771542229521,0.130436398475,0.126280570621,0.136838030864,0.0371499104607,0.244340089315,0.661155855762,0.383996312123,0.00489553945576,0.00752255113354,0.00552442736738,0.00108769311919,0.00327600483309,0.000871692957213,0.0453699255977,0.00562313318513,0.451188845983,0.099249733484,0.629833872829,0.0485662588163,0.198127733512,0.0147212714038,0.545754679855,0.496353771791,0.00757774299884,0.309818826652,0.0159287116995,0.346683977849,0.00352772735815,0.0495604527593,0.0340326901033,0.00891520161384,0.04559141192,0.0216628055138,0.0112318149936,0.0363751174577,0.0454631321211,0.0229887622715,0.0303523256457,0.0163946223099,0.0113969971332,0.0275136093241,0.00411426985944,0.00382157470646,0.000346223069814,0.00687923664916,0.0326432663166,0.0600033720677,0.0110281847514,0.0013384874206,0.07118793554,0.100883916012,0.0946032552863,0.0229795020796,0.00122425401365,0.00440950940639,0.00186580645471,0.00263358550206,0.0110150900905,0.00120446780638,0.0437049312453,0.00608424554165,0.00564334876975,0.00567122698021,0.021597704752,0.00840720016881,0.0110008499455,0.011218876685,0.00716707669014,0.0092147243184,0.00448044533773,0.0305516216039,0.0146493524774,0.0401267834173,0.133918650959,0.114609682226,0.119321653075,0.00775252485685,0.0191219268471,0.00343798444027,0.00908013060975
group6754,0.924162246877,0.0761126845269,0.904831526283,0.935064426292,0.962227487883,0.953162894429,1.0,0.920643681017,0.942133685701,0.740157076242,0.757344624341,0.699517233306,0.466052798568,0.701092917003,0.670620261213,0.0101761287451,0.00297784999926,0.0782932357332,0.0209087640265,0.230839493469,0.0134938358398,0.259443909457,0.185535680386,0.0237505840067,0.232925150396,0.267493544821,0.0719131385445,0.201201016418,0.287126522632,0.193851179144,0.141285973938,0.0950408203696,0.0136169789773,0.256772991306,0.251729117339,0.39094195474,0.0796926859453,0.176180728804,0.326137757798,0.0280543630963,0.174913098293,0.105346040782,-0.000587025836162,0.00994262410685,-1.38903625367e-05,-0.00410328629223,0.0450642734105,0.0173842787464,0.0227588537915,0.0513659644794,0.0648794245241,0.0770571643094,0.0856688083522,0.0147971354148,0.172157001181,0.305509002445,0.148188301769,-0.000270352064095,-0.00132026767488,0.00135810349508,0.000389028329482,0.0025826647216,-0.00166151549229,0.0316672144928,0.000704119191987,0.208660140481,0.0322141067646,0.285011358084,0.030198478177,0.217046645255,0.00685293949613,0.304915710241,0.297506577686,0.000795519358084,0.126666978438,0.0208060984558,0.184532856663,0.00269770090084,0.0465800086183,0.0227609550981,0.00625804408906,0.0408842878017,0.0173661670655,0.010064913805,0.020480855824,0.0376790574725,0.014501401008,0.0234316177589,0.00933728481256,0.00698636502126,0.0215760451452,0.00357883435419,0.00510673839557,0.000203397094505,0.00464875243131,0.0203797193452,0.0356730159182,0.00862506691125,0.000818944667922,0.0418835941867,0.0623327147173,0.0596284328226,0.0139813836164,0.000698046504157,0.00369561897316,0.000765487355443,0.00101460868463,0.0092853527302,0.00078645532333,0.0259236612026,0.00385802595589,0.00448856118959,0.00487968704683,0.0120960260374,0.00263709816991,0.00222322590965,0.00526293985199,0.00312135419657,0.00587058249442,0.00213284420263,0.0294220932245,0.00965062653207,0.0293944349124,0.0922466210629,0.0849389183395,0.0724136491939,0.00346127974586,0.0241189244765,0.00344858194174,0.0110843481662
group6753,0.823843988227,0.0870452933185,0.874122957266,0.898774115615,0.893547023831,0.92161740345,0.920643681017,1.0,0.911312961609,0.818513493923,0.783304051301,0.733869778889,0.466660673371,0.69320932013,0.644621042013,0.00786288808812,0.00242544002525,0.182541541385,0.0176915394025,0.254332873029,0.0173527015917,0.310034738235,0.207955562654,0.0187740353021,0.283617680814,0.307622604136,0.0871516761677,0.210729259685,0.316985348164,0.296864165191,0.123968115298,0.163759108769,0.136275246526,0.295759458305,0.235961652308,0.263935207606,0.12501942985,0.0861357058025,0.332824618968,0.0283862623626,0.191264534555,0.136467800293,-0.000547663207754,0.00654511397438,0.000602044322981,0.00322401173974,0.0488122793196,0.0317674468394,0.0249543308476,0.103037905954,0.118159795406,0.146982342781,0.155383252701,0.050195827012,0.19566807294,0.335861720746,0.184173570615,0.0108736157941,0.0117442859956,0.0146486060273,0.00363293351485,0.00713066300792,0.00645594871196,0.0409906791788,0.010636235169,0.291937654742,0.0572040769583,0.335544862207,0.0369518737687,0.210796361979,0.00784455393442,0.28189742318,0.263060288997,0.0243525093529,0.209443973954,0.0120340937391,0.194575945827,0.00504779401751,0.0343888051916,0.0283258973209,0.0148403306348,0.0682006682598,0.0310521529796,0.0165457722625,0.0654119740295,0.0718777411043,0.0433714391119,0.0453008096384,0.0290118067757,0.0180534980909,0.0534976819052,0.00313850723098,0.0126174594869,0.00217351603186,0.00961815303609,0.0459807426945,0.104114337687,0.0209050875545,0.00234025444458,0.0932009924305,0.148998224969,0.142708030984,0.034866432351,0.00265739970368,0.00904117947934,0.00414256173072,0.00328068106617,0.0174726707358,0.00111121111064,0.0512557651226,0.00783044525919,0.0100362727097,0.00973226267033,0.025581149251,0.00902403928669,0.0106358570981,0.0106428522236,0.006219929367,0.0108796072639,0.00605670104406,0.0281984547135,0.0275729937815,0.0486304920858,0.159367327252,0.146527163848,0.138982305267,0.00948737185208,0.0202249009247,0.00209085531309,0.0116766043454
group6752,0.932108648501,0.101002441063,0.914747571663,0.962590824839,0.951518728362,0.97824937838,0.942133685701,0.911312961609,1.0,0.826096129279,0.85876504505,0.73516204541,0.532892388709,0.737558542594,0.683873927196,0.0125395486884,0.00152487308808,0.167644985952,0.0182304899206,0.652111126137,0.0196617019878,0.726497489856,0.505843381386,0.0342588347288,0.670532121707,0.693602082363,0.0676140973599,0.498581250601,0.743283863705,0.642922309533,0.281147331054,0.296078220301,0.0850883834211,0.668300583028,0.484136008385,0.584241364859,0.147434077434,0.181545467322,0.771439201624,0.0262723306988,0.23986312929,0.294464587184,-0.000720634750612,0.0124662393076,-0.000130290394497,-0.00580789025227,0.039296669427,0.0283368705135,0.0250936540684,0.0893258880279,0.151117075825,0.16604833077,0.190282737539,0.0227671641566,0.245211736275,0.758076221437,0.455620048176,0.00238485785608,0.00969076908321,0.00716071668651,-0.000704304268168,0.00422588610966,-0.00159721596108,0.034198491258,0.00474241410372,0.520015277546,0.0816269569426,0.737919011838,0.0659395047475,0.214476644655,0.0151675997861,0.607808779997,0.537886240115,0.0168593440933,0.364624174221,0.0116578000808,0.398088410188,0.00436405629064,0.0437908969533,0.031001551412,0.0119280937866,0.0515442472927,0.0246652462667,0.0124119025061,0.0373514215435,0.0574824233177,0.0294386274577,0.0371223804389,0.0231961028999,0.0150799411921,0.0325319716662,0.00302228473611,0.00367908476787,0.000348137851375,0.00853931987188,0.0439521254818,0.0846104557123,0.0101234535549,0.00113581139068,0.0986658591751,0.145480036583,0.134662016726,0.0314294745283,0.000724372261028,0.00410205619743,0.00186493445585,0.00260913729099,0.0115748539253,0.000742403293388,0.0602348441426,0.00753317003577,0.0040812099851,0.0041320381176,0.0261400454202,0.00567336679796,0.00755633107077,0.00757923765312,0.00516520978448,0.011456771006,0.00432424823096,0.0264750276406,0.00971908283558,0.0515155841485,0.175335591086,0.144619904971,0.158041389885,0.00515952803003,0.0141191961755,0.00241638088936,0.00917133659218
group6751,0.677863193983,0.0140817488831,0.774825847623,0.770057246126,0.748546079508,0.770996485985,0.740157076242,0.818513493923,0.826096129279,1.0,0.879961402363,0.521202148171,0.138907546798,0.60659159283,0.622381349612,0.0231636452111,0.00108599444031,0.311290262954,0.0181359071223,0.422162210115,0.0307906726169,0.34274690439,0.336804733087,0.00414862661992,0.408271844596,0.371113701684,0.0512192713881,0.290870453911,0.277330404697,0.281306228364,0.187905419426,0.221627582719,0.108293190414,0.394630971146,0.320987142453,0.128884898919,0.109986901679,0.0350676767167,0.149270378216,0.00650041846473,0.0525061330822,0.253157943965,-0.000119326980523,0.0222632818293,0.00304605775755,0.0282425758833,0.00445301095099,0.0652780575597,0.0194931262017,0.188861453159,0.272845228362,0.282799832849,0.318911223809,0.0514258848029,0.131182486306,0.486147714672,0.351923219179,0.0430014122484,0.0548099732043,0.0563420506536,0.0252661663586,0.019496357309,0.0303381153677,0.0331304005769,0.0316085991366,0.381227706636,0.12809206803,0.469325496804,0.0592658562762,0.100504083955,0.00974903372364,0.268432010137,0.203263503116,0.0312136247672,0.0756614437415,0.0136655876543,0.0878527653754,0.0146111126307,0.0199250718956,0.0124208228219,0.01148933469,0.103822699861,0.0513344706285,0.00938921656538,0.0852295515159,0.115189632242,0.0668784961921,0.0424879897152,0.0327984420095,0.0416234720366,0.101519646442,0.00810008549005,0.0137434545513,0.0017722555323,0.0140519258553,0.0731052502626,0.198183186703,0.018043178364,0.00414386298308,0.161888523969,0.264547094977,0.249559831544,0.0347214839202,0.00149584369968,0.0113611338997,0.00443337407181,0.00410654391425,0.0523434258077,0.00564549638639,0.122155870482,0.0474488410791,0.0227000842723,0.0379977938128,0.0828596305923,0.0501948874815,0.0410772474747,0.0244649171726,0.017077096273,0.0171114227116,0.014363149756,0.0104741004232,0.0145451399159,0.0791921103811,0.290219913016,0.262116346733,0.271467325944,0.0477860097527,0.0359131495794,0.00110856959782,0.0128783711889
