,gene,members,origin,r_scores,snps
2675,group4020,198,['chrm'],0.112337473255,20
2676,group4021,198,['chrm'],0.160974675807,164
2677,group4022,198,['chrm'],0.161572854733,31
2678,group4023,198,['chrm'],0.19314499319,89
2679,group4024,198,['chrm'],0.131015940454,46
2680,group4025,196,0,0.08691271994,45
2681,group4026,162,0,0.144087292502,35
2682,group4027,162,0,0.160683379726,25
2683,group4028,185,0,0.0862366380866,301
2684,group4029,198,['chrm'],0.198287001275,78
2685,group4030,198,['chrm'],0.16779415086,85
2686,group4031,198,['chrm'],0.141382367957,53
2687,group4032,193,0,0.213545286386,38
2688,group4033,198,['chrm'],0.166201134072,47
2689,group4034,178,0,0.140520623962,143
2690,group4035,198,"['Rh01', 'Rh04']",0.176614907977,147
2691,group4036,197,0,0.182213395219,101
2692,group4037,198,"['Rh01', 'Rh04']",0.177635021341,297
2693,group4038,185,0,0.197314442725,104
2694,group4039,185,0,0.194843436751,90
2695,group4040,185,0,0.174298237149,54
2696,group4041,185,0,0.187993113013,57
2697,group4042,184,0,0.190237052777,102
2698,group4043,185,0,0.191000435333,38
2699,group4044,172,0,0.169674084679,39
2700,group4045,198,"['Rh01', 'Rh04']",0.182195824349,60
2701,group4046,198,"['Rh01', 'Rh04']",0.133213212418,39
2702,group4047,197,0,0.16834072725,78
2703,group4048,198,"['Rh01', 'Rh04']",0.167504686679,77
2704,group4049,198,"['Rh01', 'Rh04']",0.17151654551,46
2705,group4050,198,"['Rh01', 'Rh04']",0.214967448586,79
2706,group4051,198,"['Rh01', 'Rh04']",0.177035852274,82
2707,group4052,198,"['Rh01', 'Rh04']",0.196042714403,46
2708,group4053,198,"['Rh01', 'Rh04']",0.178352198544,60
2709,group4054,198,"['Rh01', 'Rh04']",0.177122848984,67
2710,group4055,198,"['Rh01', 'Rh04']",0.174593041284,96
2711,group4056,198,"['Rh01', 'Rh04']",0.166850578257,95
2712,group4057,198,"['Rh01', 'Rh04']",0.163758054818,60
2713,group4058,127,0,0.139985396945,18
2714,group4059,191,0,0.1338158598,51
2715,group4060,198,"['Rh01', 'Rh04']",0.120428011607,26
2716,group4062,198,['chrm'],0.177290673369,64
2717,group4063,198,['chrm'],0.156279869394,131
2718,group4064,198,['chrm'],0.163078242892,20
2719,group4065,197,0,0.0885841549398,36
2720,group4066,198,['chrm'],0.196536821365,55
2721,group4067,198,['chrm'],0.161558812435,49
2722,group4068,198,['chrm'],0.21239440893,64
2723,group4069,198,['chrm'],0.183794437075,36
2724,group4070,156,0,0.0893986311561,36
2725,group4072,198,['chrm'],0.233968221558,80
2726,group4073,198,['chrm'],0.185784689476,52
2727,group4074,198,['chrm'],0.193569477829,69
2728,group4075,198,['chrm'],0.1541452549,155
2729,group4076,198,['chrm'],0.142943705667,54
2730,group4077,198,['chrm'],0.155206336336,27
2731,group4078,198,['chrm'],0.171563969888,59
2732,group4079,198,['chrm'],0.173593078793,80
2733,group4080,198,['chrm'],0.129782589779,21
2734,group4081,198,['chrm'],0.0968277663727,10
2735,group4082,198,['chrm'],0.255505869602,513
2736,group4083,198,['chrm'],0.205543149469,93
2737,group4084,198,['chrm'],0.135172644749,30
2738,group4085,198,"['Rh01', 'Rh04']",0.126562831849,69
2739,group4086,198,"['Rh01', 'Rh04']",0.135977392753,55
2740,group4087,198,"['Rh01', 'Rh04']",0.166466200993,127
2741,group4088,198,"['Rh01', 'Rh04']",0.148637828528,57
2742,group4089,198,"['Rh01', 'Rh04']",0.180392280026,209
2743,group4090,198,"['Rh01', 'Rh04']",0.128104713156,90
2744,group4091,198,"['Rh01', 'Rh04']",0.129154270385,71
2745,group4092,198,"['Rh01', 'Rh04']",0.19768928558,52
2746,group4093,198,"['Rh01', 'Rh04']",0.13186597282,55
2747,group4094,198,"['Rh01', 'Rh04']",0.108475633561,51
2748,group4095,198,"['Rh01', 'Rh04']",0.134333966675,74
2749,group4096,195,0,0.150646363861,84
2750,group4097,198,"['Rh01', 'Rh04']",0.127511496257,72
2751,group4098,198,"['Rh01', 'Rh04']",0.127508420489,25
2752,group4099,198,"['Rh01', 'Rh04']",0.173068687,70
2753,group4100,198,"['Rh01', 'Rh04']",0.149981924168,62
2754,group4101,198,"['Rh01', 'Rh04']",0.0887351214791,72
2755,group4102,198,"['Rh01', 'Rh04']",0.147975493413,193
2756,group4103,194,0,0.181063927817,35
2757,group4104,198,"['Rh01', 'Rh04']",0.215111835316,86
2758,group4105,198,"['Rh01', 'Rh04']",0.164165655518,17
2759,group4106,198,"['Rh01', 'Rh04']",0.159138977488,147
2760,group4107,198,"['Rh01', 'Rh04']",0.124413170254,136
2761,group4109,198,"['Rh01', 'Rh04']",0.174348360064,92
2762,group4110,198,"['Rh01', 'Rh04']",0.165132350552,29
2763,group4111,198,"['Rh01', 'Rh04']",0.166737969832,43
2764,group4112,160,0,0.132936230017,37
2765,group4113,198,"['Rh01', 'Rh04']",0.169500891602,39
2766,group4114,198,"['Rh01', 'Rh04']",0.119126077445,39
2767,group4115,198,"['Rh01', 'Rh04']",0.127556741652,152
2768,group4119,196,0,0.122074649434,198
2769,nifE,197,0,0.113820527529,155
2770,nifK,197,0,0.106828179816,112
2771,nifD,197,0,0.130080842086,85
2772,nifH,197,0,0.10473962585,68
2773,fixA,197,0,0.123708410462,61
2774,fixB,197,0,0.139173389712,114
2775,fixC,197,0,0.126728050258,137
2776,fixX,196,0,0.118930873854,27
2777,nifA,196,0,0.127065615358,89
2778,nifB,195,0,0.128607783163,240
2779,group4132,106,0,0.130451489125,5
2780,group4133,108,0,0.117645797923,28
2781,nodJ,191,0,0.133850534971,49
2782,nodI,188,0,0.108067913479,53
2783,nodC,196,0,0.16334981355,56
2784,nodA,191,0,0.103096147112,45
2785,nodD,176,0,0.114582780993,55
2786,nodF,197,0,0.0932725818738,20
2787,nodE,196,0,0.11420841503,104
2788,nodL,197,0,0.0959455652616,13
2789,nodM,196,0,0.106577038566,119
2790,nodN,197,0,0.13354734937,30
2791,nodX,197,0,0.158735293061,42
2792,group4169,197,0,0.139722775498,51
2793,group4175,198,['chrm'],0.145918277598,15
2794,group4176,198,['chrm'],0.104439695192,12
2795,group4177,198,['chrm'],0.16342107937,24
2796,group4178,198,['chrm'],0.168789715798,30
2797,group4179,198,['chrm'],0.100533159027,37
2798,group4180,198,['chrm'],0.163754135965,25
2799,group4181,195,0,0.149354377326,114
2800,group4182,197,0,0.143391166868,96
2801,group4183,175,0,0.12963924882,20
2802,group4184,176,0,0.13252339655,8
2803,group4185,198,['chrm'],0.206001276184,47
2804,group4186,198,['chrm'],0.195284418519,103
2805,group4187,198,['chrm'],0.178788243399,30
2806,group4188,198,['chrm'],0.19256913473,26
2807,group4189,164,0,0.114983634334,23
2808,group4190,198,['chrm'],0.153078004124,103
2809,group4191,198,['chrm'],0.197281472587,37
2810,group4192,198,['chrm'],0.196185872145,44
2811,group4193,198,['chrm'],0.184905270129,27
2812,group4195,160,0,0.112760545517,48
2813,group4196,198,['chrm'],0.207506225255,123
2814,group4197,196,0,0.112270751527,105
2815,group4198,197,0,0.105960355515,74
2816,group4199,198,['chrm'],0.188391695014,69
2817,group4200,198,['chrm'],0.172897760252,16
2818,group4201,185,0,0.108268636906,63
2819,group4202,198,['chrm'],0.174889841035,81
2820,group4203,198,['chrm'],0.126904209092,21
2821,group4204,198,['chrm'],0.132581074542,17
2822,group4205,198,['chrm'],0.143947750712,163
2823,group4206,198,['chrm'],0.157013209486,60
2824,group4207,198,['chrm'],0.155066736783,85
2825,group4208,198,['chrm'],0.216527530319,86
2826,group4209,198,['chrm'],0.16896131694,28
2827,group4210,198,['chrm'],0.111613103977,120
2828,group4211,198,['chrm'],0.188903136101,102
2829,group4212,198,['chrm'],0.156278333421,65
2830,group4213,198,['chrm'],0.146587403107,65
2831,group4214,198,['chrm'],0.206979924026,42
2832,group4215,198,['chrm'],0.157084437297,84
2833,group4216,198,['chrm'],0.185676065182,43
2834,group4217,198,['chrm'],0.187078866062,42
2835,group4218,198,['chrm'],0.0783816078097,44
2836,group4219,197,0,0.123659303003,46
2837,group4220,138,0,0.136315711539,29
2838,group4221,198,['chrm'],0.151691937641,85
2839,group4222,198,['chrm'],0.167468782764,58
2840,group4223,197,0,0.189825556279,46
2841,group4224,198,['chrm'],0.189409996725,39
2842,group4225,198,['chrm'],0.173543630022,37
2843,group4226,198,['chrm'],0.181244368126,60
2844,group4227,198,['chrm'],0.148352710762,42
2845,group4228,198,['chrm'],0.142842962314,97
2846,group4229,198,['chrm'],0.11329983523,19
2847,group4231,198,['chrm'],0.127956132021,44
2848,group4232,198,['chrm'],0.193718434847,145
2849,group4233,170,0,0.117236191354,7
2850,group4234,198,['chrm'],0.218954197523,84
2851,group4235,198,['chrm'],0.193060823314,52
2852,group4236,198,['chrm'],0.142342865778,87
2853,group4237,198,['chrm'],0.108748172488,14
2854,group4238,198,['chrm'],0.161481357797,75
2855,group4239,198,['chrm'],0.1889273509,95
2856,group4240,198,['chrm'],0.2053297906,118
2857,group4241,198,['chrm'],0.140126759227,65
2858,group4242,198,['chrm'],0.169803182923,30
2859,group4243,198,['chrm'],0.217689683602,152
2860,group4244,198,['chrm'],0.14872514393,29
2861,group4245,198,['chrm'],0.205412450773,40
2862,group4246,198,['chrm'],0.240220714237,177
2863,group4249,198,['chrm'],0.177085526401,82
2864,group4250,198,['chrm'],0.218656805086,70
2865,group4251,198,['chrm'],0.152949730766,5
2866,group4252,198,['chrm'],0.236675040577,46
2867,group4253,198,['chrm'],0.187684683011,34
2868,group4255,198,['chrm'],0.193089729105,34
2869,group4256,198,['chrm'],0.199931092542,90
2870,group4257,198,['chrm'],0.200962899976,93
2871,group4259,198,['chrm'],0.297410846281,144
2872,group4260,198,['chrm'],0.20698292072,31
2873,group4261,198,['chrm'],0.245888558141,50
2874,group4262,198,['chrm'],0.237527732782,75
2875,group4263,198,['chrm'],0.2334897618,54
2876,group4264,198,['chrm'],0.157797322532,47
2877,group4265,198,['chrm'],0.265418660775,200
2878,group4266,198,['chrm'],0.141692460892,33
2879,group4267,198,['chrm'],0.22870269964,54
2880,group4268,198,['chrm'],0.207970306965,33
2881,group4269,198,['chrm'],0.231007749033,33
